token_id,form,lemma,method,resolved_entity
102370,προσηύχετο,προσεύχομαι,HEURISTIC,ΔΑΙΜΌΝΙΟΝ
765140,εὗρον,εὑρίσκω,HEURISTIC,ΜΕΤΆ
765143,λέγουσιν,λέγω,HEURISTIC,ΜΕΤΆ
102394,λέγει,λέγω,HEURISTIC,ΠΑ͂Σ
102397,ἄγωμεν,ἄγω,LLM,IESOUS_AND_DISCIPLES
102406,κηρύξω,κηρύσσω,LLM,IESOUS
102411,ἐξῆλθον,ἐξέρχομαι,LLM,IESOUS
102414,ἦλθεν,ἔρχομαι,HEURISTIC,ΠΑ͂Σ
102442,θέλῃς,ἐθέλω,LLM,IESOUS
102443,δύνασαί,δύναμαι,LLM,IESOUS
102453,ἥψατο,ἅπτω,HEURISTIC,ΛΕΠΡΌΣ
102455,λέγει,λέγω,HEURISTIC,ΛΕΠΡΌΣ
102457,θέλω,ἐθέλω,LLM,IESOUS
102459,καθαρίσθητι,καθαρίζω,LLM,LEPER
102470,ἐκαθερίσθη,καθαρίζω,HEURISTIC,ΛΈΠΡΑ
102476,ἐξέβαλεν,ἐκβάλλω,HEURISTIC,ΛΈΠΡΑ
102480,λέγει,λέγω,HEURISTIC,ΛΈΠΡΑ
102483,ὅρα,ὁράω,LLM,LEPER
102486,εἴπῃς,λέγω,LLM,LEPER
102489,ὕπαγε,ὑπάγω,LLM,LEPER
102491,δεῖξον,δείκνυμι,LLM,LEPER
102495,προσένεγκε,προσφέρω,LLM,LEPER
102533,ἦν,εἰμί#1,LLM,IESOUS
102536,ἤρχοντο,ἔρχομαι,LLM,CROWD
102548,ἠκούσθη,ἀκούω,HEURISTIC,ΑΥ̓ΤΌΣ
102552,ἐστίν,εἰμί#1,HEURISTIC,ΑΥ̓ΤΌΣ
102568,ἐλάλει,λαλέω,HEURISTIC,ΠΡΌΣ
102574,ἔρχονται,ἔρχομαι,HEURISTIC,ΠΡΌΣ
102591,ἀπεστέγασαν,ἀποστεγάζω,HEURISTIC,ΠΡΌΣ
102595,ἦν,εἰμί#1,HEURISTIC,ΠΡΌΣ
102599,χαλῶσι,χαλάω,HEURISTIC,ΠΡΌΣ
102644,βλασφημεῖ,βλασφημέω,HEURISTIC,ΟὟΤΟΣ
102666,διαλογίζονται,διαλογίζομαι,HEURISTIC,IESOUS
102674,διαλογίζεσθε,διαλογίζομαι,LLM,SCRIBES
102696,ἔγειρε,ἐγείρω,LLM,PARALYTIC
102698,ἆρον,ἀείρω,LLM,PARALYTIC
102703,ὕπαγε,ὑπάγω,LLM,PARALYTIC
102707,εἰδῆτε,οἶδα,LLM,SCRIBES
102721,λέγει,λέγω,LLM,IESOUS
102726,λέγω,λέγω,LLM,IESOUS
102728,ἔγειρε,ἐγείρω,LLM,PARALYTIC
102729,ἆρον,ἀείρω,LLM,PARALYTIC
102734,ὕπαγε,ὑπάγω,LLM,PARALYTIC
765185,ἠγέρθη,ἐγείρω,HEURISTIC,ΥἹΌΣ
765191,ἐξῆλθεν,ἐξέρχομαι,HEURISTIC,ΥἹΌΣ
765205,εἴδαμεν,ὁράω,LLM,CROWD
102765,ἐξῆλθεν,ἐξέρχομαι,HEURISTIC,ΠΑ͂Σ
102780,ἐδίδασκεν,διδάσκω,HEURISTIC,ὌΧΛΟΣ
102785,εἶδεν,ὁράω,HEURISTIC,ὌΧΛΟΣ
102796,λέγει,λέγω,HEURISTIC,ὌΧΛΟΣ
102799,ἀκολούθει,ἀκολουθέω,LLM,LEVI
102804,ἠκολούθησεν,ἀκολουθέω,HEURISTIC,ὌΧΛΟΣ
102808,γίνεται,γίγνομαι,HEURISTIC,ὌΧΛΟΣ
102829,ἦσαν,εἰμί#1,HEURISTIC,ἉΜΑΡΤΩΛΌΣ
762909,ἤσθιεν,ἐσθίω,HEURISTIC,ΓΡΑΜΜΑΤΕΎΣ
762915,ἔλεγον,λέγω,HEURISTIC,ΓΡΑΜΜΑΤΕΎΣ
762925,ἐσθίει,ἐσθίω,HEURISTIC,ΓΡΑΜΜΑΤΕΎΣ
762927,πίνει,πίνω,HEURISTIC,ΓΡΑΜΜΑΤΕΎΣ
102884,ἦλθον,ἔρχομαι,LLM,IESOUS
102901,ἔρχονται,ἔρχομαι,HEURISTIC,ΦΑΡΙΣΑΙ͂ΟΣ
102903,λέγουσιν,λέγω,HEURISTIC,ΦΑΡΙΣΑΙ͂ΟΣ
102947,ἔχουσιν,ἔχω,HEURISTIC,ΝΥΜΦΊΟΣ
102954,δύνανται,δύναμαι,HEURISTIC,ΝΥΜΦΊΟΣ
102969,νηστεύσουσιν,νηστεύω,LLM,DISCIPLES
103031,ἐγένετο,γίγνομαι,HEURISTIC,ἈΣΚΌΣ
103058,ἴδε,ὁράω,LLM,IESOUS
103060,ποιοῦσιν,ποιέω,HEURISTIC,ΦΑΡΙΣΑΙ͂ΟΣ
103065,ἔξεστιν,ἔξεστι,HEURISTIC,ΦΑΡΙΣΑΙ͂ΟΣ
103068,λέγει,λέγω,HEURISTIC,ΦΑΡΙΣΑΙ͂ΟΣ
103072,ἀνέγνωτε,ἀναγιγνώσκω,LLM,PHARISEES
103079,ἔσχεν,ἔχω,HEURISTIC,ΔΑΥΊΔ
103089,εἰσῆλθεν,εἰσέρχομαι,HEURISTIC,ΜΕΤΆ
103103,ἔφαγεν,ἐσθίω,HEURISTIC,ΜΕΤΆ
103107,ἔξεστιν,ἔξεστι,HEURISTIC,ΜΕΤΆ
103115,ἔδωκεν,δίδωμι,HEURISTIC,ΜΕΤΆ
103123,ἔλεγεν,λέγω,HEURISTIC,ΜΕΤΆ
103152,εἰσῆλθεν,εἰσέρχομαι,HEURISTIC,ΥἹΌΣ
103167,παρετήρουν,παρατηρέω,HEURISTIC,ἌΝΘΡΩΠΟΣ
103173,θεραπεύει,θεραπεύω,HEURISTIC,ἌΝΘΡΩΠΟΣ
103177,κατηγορήσωσιν,κατηγορέω,HEURISTIC,ἌΝΘΡΩΠΟΣ
103181,λέγει,λέγω,HEURISTIC,ἌΝΘΡΩΠΟΣ
103190,ἔγειρε,ἐγείρω,LLM,MAN_WITH_WITHERED_HAND
103196,λέγει,λέγω,HEURISTIC,ἌΝΘΡΩΠΟΣ
103199,ἔξεστιν,ἔξεστι,HEURISTIC,ἌΝΘΡΩΠΟΣ
103230,λέγει,λέγω,HEURISTIC,Ὁ
103234,ἔκτεινον,ἐκτείνω,LLM,MAN
103239,ἐξέτεινεν,ἐκτείνω,HEURISTIC,Ὁ
103261,ἀπολέσωσιν,ἀπόλλυμι,HEURISTIC,ΦΑΡΙΣΑΙ͂ΟΣ
103309,ἐποίει,ποιέω,HEURISTIC,ΠΛΗ͂ΘΟΣ
103315,εἶπεν,λέγω,HEURISTIC,ΠΛΗ͂ΘΟΣ
103329,θλίβωσιν,θλίβω,HEURISTIC,ΠΛΟΙΆΡΙΟΝ
103334,ἐθεράπευσεν,θεραπεύω,HEURISTIC,ΠΛΟΙΆΡΙΟΝ
103342,ἅψωνται,ἅπτω,HEURISTIC,ΠΛΟΙΆΡΙΟΝ
103356,ἐθεώρουν,θεωρέω,HEURISTIC,ΠΝΕΥ͂ΜΑ
103361,ἔκραζον,κράζω,HEURISTIC,ΠΝΕΥ͂ΜΑ
103373,ἐπετίμα,ἐπιτιμέω,HEURISTIC,ΣΎ
103379,ποιήσωσιν,ποιέω,HEURISTIC,ΣΎ
103382,ἀναβαίνει,ἀναβαίνω,HEURISTIC,ΣΎ
103387,προσκαλεῖται,προσκαλέω,HEURISTIC,ΣΎ
103393,ἀπῆλθον,ἀπέρχομαι,HEURISTIC,ΑΥ̓ΤΌΣ
103398,ἐποίησεν,ποιέω,HEURISTIC,ΑΥ̓ΤΌΣ
103402,ὦσιν,εἰμί#1,HEURISTIC,ΑΥ̓ΤΌΣ
103408,ἀποστέλλῃ,ἀποστέλλω,HEURISTIC,ΑΥ̓ΤΌΣ
103419,ἐποίησεν,ποιέω,HEURISTIC,ΑΥ̓ΤΌΣ
103424,ἐπέθηκεν,ἐπιτίθημι,HEURISTIC,ΑΥ̓ΤΌΣ
103443,ἐπέθηκεν,ἐπιτίθημι,HEURISTIC,ΑΥ̓ΤΌΣ
103484,ἔρχεται,ἔρχομαι,HEURISTIC,ὍΣ
103510,ἔλεγον,λέγω,HEURISTIC,ΠΑΡΆ
103513,ἐξέστη,ἐξίστημι,HEURISTIC,ΠΑΡΆ
103525,ἔχει,ἔχω,HEURISTIC,ΓΡΑΜΜΑΤΕΎΣ
103534,ἐκβάλλει,ἐκβάλλω,HEURISTIC,ΓΡΑΜΜΑΤΕΎΣ
103543,ἔλεγεν,λέγω,HEURISTIC,ΓΡΑΜΜΑΤΕΎΣ
103587,ἐμερίσθη,μερίζω,HEURISTIC,ΣΑΤΑΝΑ͂Σ
103591,δύναται,δύναμαι,HEURISTIC,ΣΑΤΑΝΑ͂Σ
103595,ἔχει,ἔχω,LLM,SATANAS
103617,δήσῃ,δέω#1,LLM,IMPERSONAL_OR_NONE
103624,διαρπάσει,διαρπάζω,LLM,IMPERSONAL_OR_NONE
103627,λέγω,λέγω,LLM,IESOUS
103644,βλασφημήσωσιν,βλασφημέω,HEURISTIC,ΠΑ͂Σ
103665,ἔσται,εἰμί#1,LLM,IMPERSONAL_OR_NONE
103669,ἔλεγον,λέγω,HEURISTIC,ΒΛΑΣΦΗΜΈΩ
103673,ἔχει,ἔχω,HEURISTIC,ΒΛΑΣΦΗΜΈΩ
103688,ἀπέστειλαν,ἀποστέλλω,HEURISTIC,ἈΔΕΛΦΌΣ
103701,λέγουσιν,λέγω,HEURISTIC,ὌΧΛΟΣ
103723,λέγει,λέγω,HEURISTIC,ἈΔΕΛΦΉ
103742,λέγει,λέγω,HEURISTIC,ΤΊΣ
103744,ἴδε,ὁράω,LLM,IMPERSONAL_OR_NONE
103772,ἤρξατο,ἄρχω,HEURISTIC,ΟὟΤΟΣ
103808,ἐδίδασκεν,διδάσκω,HEURISTIC,ὌΧΛΟΣ
103815,ἔλεγεν,λέγω,HEURISTIC,ὌΧΛΟΣ
103822,ἀκούετε,ἀκούω,LLM,CROWD
103831,ἐγένετο,γίγνομαι,HEURISTIC,ΣΠΕΊΡΩ
103847,κατέφαγεν,κατεσθίω,HEURISTIC,ΠΕΤΕΙΝΌΝ
103859,εἶχεν,ἔχω,HEURISTIC,ἌΛΛΟΣ
103865,ἐξανέτειλεν,ἐξανατέλλω,HEURISTIC,ἌΛΛΟΣ
103879,ἐκαυματίσθη,καυματίζω,HEURISTIC,ἭΛΙΟΣ
103887,ἐξηράνθη,ξηραίνω,HEURISTIC,ἭΛΙΟΣ
103901,συνέπνιξαν,συμπνίγω,HEURISTIC,ἌΚΑΝΘΑ
103907,ἔδωκεν,δίδωμι,HEURISTIC,ἌΚΑΝΘΑ
103919,ἐδίδου,δίδωμι,HEURISTIC,ἌΛΛΟΣ
103926,ἔφερεν,φέρω,HEURISTIC,ἌΛΛΟΣ
103937,ἔλεγεν,λέγω,HEURISTIC,ΕἸΣ
103948,ἐγένετο,γίγνομαι,HEURISTIC,ἜΧΩ
103964,ἔλεγεν,λέγω,HEURISTIC,ΠΕΡΊ
103987,βλέπωσιν,βλέπω,LLM,CROWD
103990,ἴδωσιν,ὁράω,LLM,CROWD
103994,ἀκούωσιν,ἀκούω,LLM,CROWD
103997,συνιῶσιν,συνίημι,LLM,CROWD
104000,ἐπιστρέψωσιν,ἐπιστρέφω,LLM,CROWD
104002,ἀφεθῇ,ἀφίημι,LLM,IMPERSONAL_OR_NONE
104006,λέγει,λέγω,HEURISTIC,ΠΑ͂Σ
104010,οἴδατε,οἶδα,LLM,DISCIPLES
104020,γνώσεσθε,γιγνώσκω,LLM,DISCIPLES
104042,ἀκούσωσιν,ἀκούω,LLM,PEOPLE_ALONG_THE_PATH
104048,αἴρει,ἀείρω,LLM,SATANAS
104068,ἀκούσωσιν,ἀκούω,HEURISTIC,ὍΣ
104079,ἔχουσιν,ἔχω,HEURISTIC,ὍΣ
104085,εἰσίν,εἰμί#1,LLM,PEOPLE_SOWN_ON_ROCKY_GROUND
104096,σκανδαλίζονται,σκανδαλίζω,LLM,PEOPLE_SOWN_ON_ROCKY_GROUND
104137,γίνεται,γίγνομαι,HEURISTIC,ἘΠΙΘΥΜΊΑ
104155,παραδέχονται,παραδέχομαι,HEURISTIC,ὍΣΤΙΣ
104157,καρποφοροῦσιν,καρποφορέω,HEURISTIC,ὍΣΤΙΣ
104168,ἔλεγεν,λέγω,HEURISTIC,ΕἿΣ
104179,τεθῇ,τίθημι,HEURISTIC,ΛΎΧΝΟΣ
104190,τεθῇ,τίθημι,HEURISTIC,ΛΎΧΝΟΣ
104201,φανερωθῇ,φανερόω,HEURISTIC,ΚΡΥΠΤΌΣ
104209,ἔλθῃ,ἔρχομαι,LLM,IMPERSONAL_OR_NONE
104218,ἀκουέτω,ἀκούω,HEURISTIC,ΤῚΣ
104221,ἔλεγεν,λέγω,HEURISTIC,ΤῚΣ
104224,βλέπετε,βλέπω,LLM,DISCIPLES
104226,ἀκούετε,ἀκούω,LLM,DISCIPLES
104231,μετρεῖτε,μετρέω,LLM,DISCIPLES
104232,μετρηθήσεται,μετρέω,HEURISTIC,ΤῚΣ
104235,προστεθήσεται,προστίθημι,HEURISTIC,ΤῚΣ
104242,δοθήσεται,δίδωμι,HEURISTIC,ὍΣ
104252,ἔχει,ἔχω,HEURISTIC,ἜΧΩ
104258,ἔλεγεν,λέγω,HEURISTIC,ἜΧΩ
104277,καθεύδῃ,καθεύδω,HEURISTIC,ἌΝΘΡΩΠΟΣ
104279,ἐγείρηται,ἐγείρω,HEURISTIC,ἌΝΘΡΩΠΟΣ
104289,μηκύνηται,μηκύνω,HEURISTIC,ΣΠΌΡΟΣ
104320,ἀποστέλλει,ἀποστέλλω,LLM,ANTHROPOS
104330,ἔλεγεν,λέγω,HEURISTIC,ΘΕΡΙΣΜΌΣ
104333,ὁμοιώσωμεν,ὁμοιόω,LLM,IESOUS
104344,θῶμεν,τίθημι,LLM,IESOUS
104352,σπαρῇ,σπείρω,HEURISTIC,ὍΣ
104369,σπαρῇ,σπείρω,HEURISTIC,ὍΣ
104371,ἀναβαίνει,ἀναβαίνω,HEURISTIC,ὍΣ
104373,γίνεται,γίγνομαι,HEURISTIC,ὍΣ
104380,ποιεῖ,ποιέω,HEURISTIC,ὍΣ
104400,ἐλάλει,λαλέω,HEURISTIC,ΠΕΤΕΙΝΌΝ
104406,ἠδύναντο,δύναμαι,HEURISTIC,ΠΕΤΕΙΝΌΝ
104413,ἐλάλει,λαλέω,LLM,IESOUS
104422,ἐπέλυεν,ἐπιλύω,LLM,IESOUS
104426,λέγει,λέγω,HEURISTIC,ΠΕΤΕΙΝΌΝ
104435,διέλθωμεν,διέρχομαι,LLM,IESOUS_AND_DISCIPLES
104444,παραλαμβάνουσιν,παραλαμβάνω,HEURISTIC,ΠΕΤΕΙΝΌΝ
104447,ἦν,εἰμί#1,HEURISTIC,ΠΕΤΕΙΝΌΝ
104491,ἐγείρουσιν,ἐγείρω,HEURISTIC,ΑΥ̓ΤΌΣ
104494,λέγουσιν,λέγω,HEURISTIC,ΑΥ̓ΤΌΣ
104500,μέλει,μέλει,HEURISTIC,ΑΥ̓ΤΌΣ
104503,ἀπολλύμεθα,ἀπόλλυμι,LLM,DISCIPLES
104507,ἐπετίμησεν,ἐπιτιμέω,HEURISTIC,ΑΥ̓ΤΌΣ
104511,εἶπεν,λέγω,HEURISTIC,ΑΥ̓ΤΌΣ
104515,σιώπα,σιωπάω,LLM,SEA
104517,πεφίμωσο,φιμόω,LLM,SEA
104530,εἶπεν,λέγω,HEURISTIC,ΓΑΛΉΝΗ
104535,ἐστε,εἰμί#1,LLM,DISCIPLES
104540,ἔχετε,ἔχω,LLM,DISCIPLES
104544,ἐφοβήθησαν,φοβέω,HEURISTIC,ΓΑΛΉΝΗ
104549,ἔλεγον,λέγω,HEURISTIC,ΓΑΛΉΝΗ
104569,ἦλθον,ἔρχομαι,HEURISTIC,ΘΆΛΑΣΣΑ
104653,ἦν,εἰμί#1,HEURISTIC,ΟΥ̓ΔΕΊΣ
104666,ἔδραμεν,τρέχω,HEURISTIC,ΟΥ̓ΔΕΊΣ
104668,προσεκύνησεν,προσκυνέω,HEURISTIC,ΟΥ̓ΔΕΊΣ
104675,λέγει,λέγω,HEURISTIC,ΟΥ̓ΔΕΊΣ
104689,ὁρκίζω,ὁρκίζω,LLM,DEMONIAC
104696,βασανίσῃς,βασανίζω,LLM,IESOUS
104698,ἔλεγεν,λέγω,HEURISTIC,ΤΊΣ
104702,ἔξελθε,ἐξέρχομαι,LLM,UNCLEAN_SPIRIT
104712,ἐπηρώτα,ἐπερωτάω,HEURISTIC,ΤΊΣ
104720,λέγει,λέγω,HEURISTIC,ὌΝΟΜΑ
104729,ἐσμεν,εἰμί#1,LLM,DEMONS
104732,παρεκάλει,παρακαλέω,HEURISTIC,ὌΝΟΜΑ
104738,ἀποστείλῃ,ἀποστέλλω,HEURISTIC,ὌΝΟΜΑ
104755,παρεκάλεσαν,παρακαλέω,HEURISTIC,ἈΓΈΛΗ
104759,πέμψον,πέμπω,LLM,IESOUS
104768,εἰσέλθωμεν,εἰσέρχομαι,LLM,DEMONS
104771,ἐπέτρεψεν,ἐπιτρέπω,HEURISTIC,ἈΓΈΛΗ
104800,ἐπνίγοντο,πνίγω,HEURISTIC,ἈΓΈΛΗ
104811,ἀπήγγειλαν,ἀπαγγέλλω,HEURISTIC,ΒΌΣΚΩ
104821,ἦλθον,ἔρχομαι,HEURISTIC,ΒΌΣΚΩ
104829,ἔρχονται,ἔρχομαι,HEURISTIC,ΓΊΓΝΟΜΑΙ
104835,θεωροῦσιν,θεωρέω,HEURISTIC,ΓΊΓΝΟΜΑΙ
104849,ἐφοβήθησαν,φοβέω,HEURISTIC,ΓΊΓΝΟΜΑΙ
104857,ἐγένετο,γίγνομαι,HEURISTIC,ὉΡΆΩ
104866,ἤρξαντο,ἄρχω,HEURISTIC,ὉΡΆΩ
104888,ᾖ,εἰμί#1,HEURISTIC,ΔΑΙΜΟΝΊΖΟΜΑΙ
104892,ἀφῆκεν,ἀφίημι,HEURISTIC,ΔΑΙΜΟΝΊΖΟΜΑΙ
104896,λέγει,λέγω,LLM,IESOUS
104899,ὕπαγε,ὑπάγω,LLM,GERASENE_DEMONIAC
104909,ἀπάγγειλον,ἀπαγγέλλω,LLM,DEMONIAC
104917,ἠλέησέν,ἐλεέω,HEURISTIC,ΚΎΡΙΟΣ
104921,ἀπῆλθεν,ἀπέρχομαι,HEURISTIC,ΚΎΡΙΟΣ
104924,ἤρξατο,ἄρχω,HEURISTIC,ΚΎΡΙΟΣ
104958,ἦν,εἰμί#1,HEURISTIC,ὌΧΛΟΣ
104975,πίπτει,πίπτω,HEURISTIC,ΕἿΣ
104982,παρακαλεῖ,παρακαλέω,HEURISTIC,ΕἿΣ
104995,ἐπιθῇς,ἐπιτίθημι,LLM,IESOUS
105000,σωθῇ,σῴζω,HEURISTIC,ΘΥΓΆΤΡΙΟΝ
105002,ζήσῃ,ζῶ,HEURISTIC,ΘΥΓΆΤΡΙΟΝ
105005,ἀπῆλθεν,ἀπέρχομαι,HEURISTIC,ΘΥΓΆΤΡΙΟΝ
105016,συνέθλιβον,συνθλίβω,HEURISTIC,ὌΧΛΟΣ
765488,ἔλεγεν,λέγω,HEURISTIC,ΓΥΝΉ
765492,ἅψωμαι,ἅπτω,LLM,WOMAN
765498,σωθήσομαι,σῴζω,LLM,WOMAN_WITH_HEMORRHAGE
105088,ἔγνω,γιγνώσκω,HEURISTIC,ΠΗΓΉ
105092,ἴαται,ἰάομαι,HEURISTIC,ΠΗΓΉ
105129,βλέπεις,βλέπω,LLM,IESOUS
105136,λέγεις,λέγω,LLM,IESOUS
105143,περιεβλέπετο,περιβλέπω,HEURISTIC,ΤΊΣ
105163,προσέπεσεν,προσπίπτω,LLM,WOMAN
105166,εἶπεν,λέγω,LLM,WOMAN
105185,ὕπαγε,ὑπάγω,LLM,WOMAN_WITH_ISSUE_OF_BLOOD
105190,ἴσθι,εἰμί#1,LLM,WOMAN_WITH_BLOOD_ISSUE
765531,ἔρχονται,ἔρχομαι,HEURISTIC,ΑΥ̓ΤΌΣ
765543,σκύλλεις,σκύλλω,LLM,JAIRUS
105229,φοβοῦ,φοβέω,LLM,JAIRUS
105232,πίστευε,πιστεύω,LLM,JAIRUS
105236,ἀφῆκεν,ἀφίημι,HEURISTIC,IESOUS
105254,ἔρχονται,ἔρχομαι,HEURISTIC,IESOUS
105262,θεωρεῖ,θεωρέω,HEURISTIC,IESOUS
105272,λέγει,λέγω,HEURISTIC,IESOUS
105276,θορυβεῖσθε,θορυβέω,LLM,CROWD
105278,κλαίετε,κλαίω,LLM,CROWD
105285,καθεύδει,καθεύδω,LLM,JAIRUS_DAUGHTER
105288,κατεγέλων,καταγελάω,HEURISTIC,ΠΑΙΔΊΟΝ
105309,εἰσπορεύεται,εἰσπορεύομαι,LLM,IESOUS
105321,λέγει,λέγω,HEURISTIC,ΠΑΙΔΊΟΝ
105335,λέγω,λέγω,LLM,IESOUS
105337,ἔγειρε,ἐγείρω,LLM,JAIRUS_DAUGHTER
105345,περιεπάτει,περιπατέω,HEURISTIC,ΚΟΡΆΣΙΟΝ
105347,ἦν,εἰμί#1,HEURISTIC,ΚΟΡΆΣΙΟΝ
105353,ἐξέστησαν,ἐξίστημι,HEURISTIC,ΚΟΡΆΣΙΟΝ
105359,διεστείλατο,διαστέλλω,HEURISTIC,ΚΟΡΆΣΙΟΝ
105368,εἶπεν,λέγω,HEURISTIC,ΜΗΔΕΊΣ
105374,ἐξῆλθεν,ἐξέρχομαι,HEURISTIC,ΜΗΔΕΊΣ
105378,ἔρχεται,ἔρχομαι,HEURISTIC,ΜΗΔΕΊΣ
105394,ἤρξατο,ἄρχω,HEURISTIC,ΜΑΘΗΤΉΣ
105460,ἐσκανδαλίζοντο,σκανδαλίζω,HEURISTIC,ἈΔΕΛΦΉ
105493,ἐδύνατο,δύναμαι,HEURISTIC,ΠΡΟΦΉΤΗΣ
105506,ἐθεράπευσεν,θεραπεύω,HEURISTIC,ΠΡΟΦΉΤΗΣ
105509,ἐθαύμασεν,θαυμάζω,HEURISTIC,ΠΡΟΦΉΤΗΣ
105516,περιῆγεν,περιάγω,HEURISTIC,ΠΡΟΦΉΤΗΣ
105523,προσκαλεῖται,προσκαλέω,HEURISTIC,ΠΡΟΦΉΤΗΣ
105528,ἤρξατο,ἄρχω,HEURISTIC,ΠΡΟΦΉΤΗΣ
105535,ἐδίδου,δίδωμι,HEURISTIC,ΠΡΟΦΉΤΗΣ
105544,παρήγγειλεν,παραγγέλλω,HEURISTIC,ΠΡΟΦΉΤΗΣ
105548,αἴρωσιν,ἀείρω,HEURISTIC,ΠΡΟΦΉΤΗΣ
105573,ἐνδύσησθε,ἐνδύω,LLM,DISCIPLES
105578,ἔλεγεν,λέγω,HEURISTIC,ΠΡΟΦΉΤΗΣ
105583,εἰσέλθητε,εἰσέρχομαι,LLM,DISCIPLES
105588,μένετε,μένω,LLM,DISCIPLES
105591,ἐξέλθητε,ἐξέρχομαι,LLM,DISCIPLES
105602,ἀκούσωσιν,ἀκούω,HEURISTIC,ΤΌΠΟΣ
105607,ἐκτινάξατε,ἐκτινάσσω,LLM,DISCIPLES
105621,ἐκήρυξαν,κηρύσσω,HEURISTIC,ΤΌΠΟΣ
105623,μετανοῶσιν,μετανοέω,HEURISTIC,ΤΌΠΟΣ
105628,ἐξέβαλλον,ἐκβάλλω,HEURISTIC,ΤΌΠΟΣ
105631,ἤλειφον,ἀλείφω,HEURISTIC,ΤΌΠΟΣ
105636,ἐθεράπευον,θεραπεύω,HEURISTIC,ΤΌΠΟΣ
105652,ἔλεγεν,λέγω,HEURISTIC,ὌΝΟΜΑ
105675,ἐστίν,εἰμί#1,LLM,IESOUS
105710,ἔδησεν,δέω#1,HEURISTIC,ἩΡΏΙΔΗΣ
105725,ἐγάμησεν,γαμέω,HEURISTIC,ἩΡΏΙΔΗΣ
105735,ἔξεστίν,ἔξεστι,HEURISTIC,ἸΩΆΝ(Ν)ΗΣ
105750,ἤθελεν,ἐθέλω,LLM,HERODIAS
