form	lemma	pos	morphology
ἐμὲ	ἐγώ	Pp	1s---ma--i
ἐμοί	ἐγώ	Pp	1s---md--i
Τούτων	οὗτος	Pd	-p---mg--i
αὐτός	αὐτός	Pd	-s---mn--i
ταύτην	οὗτος	Pd	-s---fa--i
ἐκείνῳ	ἐκεῖνος	Pd	-s---md--i
ταύτης	οὗτος	Pd	-s---fg--i
ἐκείνου	ἐκεῖνος	Pd	-s---mg--i
ἐκείνοις	ἐκεῖνος	Pd	-p---md--i
τούτου	οὗτος	Pd	-s---mg--i
οὗτοί	οὗτος	Pd	-p---mn--i
ἐκεῖνον	ἐκεῖνος	Pd	-s---ma--i
ταύτας	οὗτος	Pd	-p---fa--i
σὲ	σύ	Pp	2s---pa--i
ἐκεῖνα	ἐκεῖνος	Pd	-p---nn--i
ἐκείνων	ἐκεῖνος	Pd	-p---ng--i
ἐμέ	ἐγώ	Pp	1s---ma--i
ἐκεῖνος	ἐκεῖνος	Pd	-s---mn--i
τοῦτον	οὗτος	Pd	-s---ma--i
αὐτοί	αὐτός	Pp	3p---mn--i
ἐκείνους	ἐκεῖνος	Pd	-p---ma--i
ἐκεῖνοι	ἐκεῖνος	Pd	-p---mn--i
ταύταις	οὗτος	Pd	-p---fd--i
ἐκεῖναι	ἐκεῖνος	Pd	-p---fn--i
Ἐκεῖνο	ἐκεῖνος	Pd	-s---na--i
τοῦτό	οὗτος	Pd	-s---nn--i
τοῦτ’	οὗτος	Pd	-s---nn--i
αὐταῖς	αὐτός	Pp	3p---fd--i
ἐκείνη	ἐκεῖνος	Pd	-s---fn--i
ἐκεῖνοί	ἐκεῖνος	Pd	-p---mn--i
Αὐτὸς	αὐτός	Pd	-s---mn--i
ἐκεῖνο	ἐκεῖνος	Pd	-s---nn--i
σέ	σύ	Pp	2s---pa--i
αὐτὴ	αὐτός	Pp	3s---fn--i
αὐτὰς	αὐτός	Pp	3p---fa--i
μοί	ἐγώ	Pp	1s---pd--i
τῇδε	ὅδε	Pd	-s---fd--i
τούτοις	οὗτος	Pd	-p---nd--i
αὗταί	οὗτος	Pd	-p---fn--i
αὐτάς	αὐτός	Pp	3p---fa--i
ἐκεῖνός	ἐκεῖνος	Pd	-s---mn--i
Τοῦτο	οὗτος	Pd	-s---na--i
ἐκεῖναί	ἐκεῖνος	Pd	-p---fn--i
Ταύτην	οὗτος	Pd	-s---fa--i
Ἐγώ	ἐγώ	Pp	1s---mn--i
μέ	ἐγώ	Pp	1s---ma--i
Οὗτός	οὗτος	Pd	-s---mn--i
Τοῦτον	οὗτος	Pd	-s---ma--i
αὐτῇ	οὗτος	Pd	-s---fd--i
Ἡμεῖς	ἡμεῖς	Pp	1p---mn--i
αὗται	οὗτος	Pd	-p---fn--i
τάδε	ὅδε	Pd	-p---na--i
Ἐγὼ	ἐγώ	Pp	1s---mn--i
Ταύτας	οὗτος	Pd	-p---fa--i
ἐγω	ἐγώ	Pp	1s---mn--i
Τούτου	οὗτος	Pd	-s---ng--i
Ἐμοὶ	ἐγώ	Pp	1s---md--i
Αὐτοὶ	αὐτός	Pd	-p---mn--i
Ταῦτά	οὗτος	Pd	-p---na--i
Σὺ	σύ	Pp	2s---mn--i
σού	σύ	Pp	2s---pg--i
Οὗτος	οὗτος	Pd	-s---mn--i
ἐκείνας	ἐκεῖνος	Pd	-p---fa--i
αὐτὴ	οὗτος	Pd	-s---fn--i
τήνδε	ὅδε	Pd	-s---fa--i
